question,A1,A2,A3,A4,correct,explanation
מהן מערכות משולש החיים?,מוח – ריאות – שרירים,מוח – לב – ריאות,לב – כליות – מעיים,עור – מוח – ריאות,A2,משולש החיים: מוח – לב – ריאות. כשלון של אחד מהם גורם לכשלון השאר.
"במהלך טיול נתקלתם באדם הזועק מכאבים עזים. על השוק שלו סימני הכשה של נחש עם אודם, נפיחות, ובצקת. לנפגע אין סימנים סיסטמיים. מה תעשה?","נבדוק אם הנחש ארסי ואם לא, נתן טיפול מקומי",נעצור את זרימת הדם ולימפה בעזרת חוסם כלי דם,נבצע חתך מזערי ליד פצע ההכשה ונדאג לשאיבת הדם,נרגיע את המטופל ונקבע את האזור הנפגע שלא יזוז,A4,"סימני הפגיעה קשורים לארס הנחש וכוללים כאבים עזים, סימני הכשה (חור של שן אחת או שתיים), אודם לאורך דרכי הלימפה, נפיחות, בצקת וסימנים סיסטמיים - כלליים כמו קוצר נשימה, הזעות מפושטות, חיוורון ורעד ועוד. במידה וניתן, יש לתאר את מראה הנחש המכיש (עדיף לתפוס אם לא מסתכנים). הפעולה הראשונה בטרם נזעיק את המטופל לבית החולים הוא להרגיע את הנפגע. חרדה או תנועת יתר מזרזת את זרימת הדם והלימפה ומחמירה את התפשטות הרעל! לכן גם חשוב לקבע את האזור הנפגע כדי לצמצם תזוזה וזרימת הדם. במקביל יש לצור קשר עם דוד אדום לצורך פינוי מידי. הכשת נחש לא מזוהה נחשבת לארסית. בכל מקרה, יש לשקול חיסון טטנוס בנוסף לטיפול לעיל. להורדת מצגת מפורטת בנושא הצלת חיים www.tmurot.org.il/article.asp"
לאחר ביצוע טרוקר הפצוע חזר לנשום באופן תקין וצבע גופו השתפר משמעותית. מה עכשיו?,נמשיך לתת לפצוע סדר קדימויות גבוה בטיפול לפי ה ABC,"נודיע על מוכנות לפינוי ונבקש פינוי מוטס, מהיר ככל שניתן",נעביר את הפצוע לפינת בינוניים ונטפל בו כמו בנפגע בינוני,נשהה את הפצוע בפינת החייאה כדי להמשיך במעקב ולטיפול המשכי,A3,"הטיפול בטרוקר נחשב לטיפול דפיניטיבי. אם לפני ביצוע הפרוצדורה הפצוע היה בסכנת חיים, הרי שעכשיו סדר הקדימויות הופחת משמעותית יחסית לסוגי פציעה אחרים. מיד לאחר הקיבוע וחבישת פגיעת החזה ניתן להעביר את המטופל לפינת בינוניים ולהמשיך את הטיפול בו שם. טיפול המשכי, בנוסף לכל מה שאנו עושים ב A-E כולל משככי כאבים כדי לאפשר נשימה טובה יותר של המטופל, אך זהירות, לא לתת מינון יתר שעלול לגרום לדיכוי נשימתי. מעקב אחר סטורציה וחמצן יבוצע בהתאם לנסיבות ולציוד הקיים."
מה לא נעשה כדי להעלות את לחץ בית החזה אצל מטופל שמשתנק?,אם המטופל משתעל נעודד אותו להשתעל עוד,"אם יש גוף זר שבולט מהפה, נשלוף אותו החוצה",אם המטופל שמן נעשה היימליך על הבטן,אם המטופל מאבד הכרה ננשים אותו,A3,"מטופל שמתפקד, נעודד אותו להשתעל ולפלוט את הגוף הזר. גוף זר שבולט ישלף אך יש להיזהר שלא לדחוק אותו עוד יותר פנימה. מטופל בחוסר הכרה יונשם. לגבי ההיימליך, על כך בשאלה הבאה."
"אם אין מטפל בכיר בשטח, כיצד ניתן את החמצן?",לא נותנים חמצן ללא מטפל בכיר בשטח,מחברים את ערכת החמצן אך לא מזרימים עד להגעת מטפל בכיר למקום,מזרימים 10 LPM בהיעדר כל הנחיה ממטפל בכיר במקום,לא צריך הנחיית מטפל בכיר לחמצן. נותנים כשיש,A3,בהיעדר מטפל בכיר נזרים באופן קבוע עשרה ליטרים לדקה. litres per minute = LPM .
מה מבין הבאים נחשב לסימן חיים בסיסי?,"חום גוף, משקל, גובה","לחץ דם, דופק, נשימה, טמפרטורה","גובה, משקל, גיל","חום גוף, סוכר בדם, לחץ דם",A2,"סימני חיים: לחץ דם, דופק, נשימה, טמפרטורה ורוויית חמצן."
מה נכון לגבי מכשיר Pulse oximeter ?,נקרא גם מד סטורציה,מכשיר שמודד קצב לב,מכשיר שמודד רמת חמצן באמצעות בדיקת דם מהירה,צינור להחדרה אל דרכי הנשימה,A1,"מד סטורציה או מד ריווי חמצן הוא מכשיר הקולט, באמצעות קרני אור, את רמת החמצן בדם. המכשיר חיוני למטפל בכיר כדי להעריך את מצב החמצון של הפצוע וכדי לעקוב אחר שיפור לאחר החדרת אינטובציה או קוניוטומיה. אינטובציה - צינור שמוחדר לדרכי נשימה דרך הפה (אין = לתוך. טיוב = צינור). קוניוטומיה - פתיחת קנה נשימה (טומיה = פיום, יצירת ""פה"" לרקמה)."
מהו שלב ה A בהחייאה?,הוצאת הפרשות (אספירציות),פתיחת נתיב אוויר,החדרת מספר נשימות,שילוב של עיסוי לב והנשמה,A2,"A פירושו Air Way כלומר מניעת חסימת דרכי האויר במערכת הנשימה. דרכי האויר יכולים להיחסם כאשר יש גוף זר בפה (כמו חפץ או הפרשות) או כאשר בסיס הלשון צנח. במקרה של הפרשות החוסמות את דרכי הנשימה המלוות בחשש להזיז צווארעל רקע חבלה, יש להטות את הראש במידת האפשר יחד עם כל הגוף. כדאי להסתייע באנשים נוספים בסביבה. יצוין כי במהלך השנים, מעדכנים מעת לעת את סדר הפעולות. למשל, במקומות רבים מציינים את האות S לפני האות A , כלומר safety . הכוונה שיש לסלק את המטופל ממקום שמסכן חיים כמו רכב שעלול לעלות באש או חייל תחת ירי ורק אז לפעול לפי סדר ה ABC . נהלים חדשים מדברים על C לפני A כשהכוונה היא קודם כל להחזיר דופק למטופל ורק אז להנשים אותו. כיוון שיש להניח שהנחיות אילו ימשיכו להשתנות מידי שנתיים שלוש, ההמלצה היא להכיר פרוטוקול מסוים ולדבוק בו. לא מספר השניות ש""התבזבזו"" על פעולה קצרה מיותרת הוא שיקבע את הצלחת הטיפול אלא הביטחון של המטפל ויכולתו לבצע סדר פעולות עקבי בלי להתבלבל! להורדת מצגת מפורטת בנושא הצלת חיים"
מה היתרון של מסכה שקופה?,היא גמישה ומותאמת למבנה פני המונשם,ניתן לראות בה הפרשות,"היא עמידה בפני חל""כ",כל התשובות לעיל נכונות,A2,"מסכה שקופה אינה גמישה, אינה עמידה לחל""כ ואינה מבצעית. היתרון הגדול שלה הוא שניתן לראות הפרשות אך היא עלולה להתמלא באדים שיקשו על כך. המסכה השחורה אטומה, מותאמת לכל מבנה פנים, עמידה לחל""כ ומבצעית, אך לא ניתן לראות בה הפרשות."
"מטופל עם שינוי במצב הכרה, הקאות, נשימה איטית ומחרחרת, דופק איטי ומלא ואישונים לא שווים. סביר להניח שלחץ הדם שלו יהיה?",נמוך מאוד בשל איבוד דם משמעותי. הפצוע בהלם עמוק,"רגיל, אין לתופעה קשר למחזור הדם",רגיל. מצד אחד הלחץ עולה בגלל עליה בלחץ תוך גולגלתי ומאידך יורד בגלל דימום,"גבוה. פגיעת ראש מעלה, בדרך כלל, את לחץ הדם",A4,"איבוד דם מסיבי אינו מאפיין פגיעת גולגולת. למעשה, בכל הנפח יכולים להיכנס כ 200 מ""ל בערך. לכן לא נצפה בהלם בפגיעת ראש בלבד. פגיעת מוח מתאפיינת בפגיעה במצב ההכרה. גם מטופל בהכרה יכול להתדרדר ולכן חשוב המעקב אחרי פצוע ראש בכל רגע נתון. חובש אמור לבדוק ולעקוב אחר AVPU = Alert Vocal Pain Unresponsive (חוסר תגובתיות קולית לכאב). בבדיקה זו נבדוק את מצב ההכרה, שינויים באישונים ובעיות מוטוריות האופייניות לפגיעת הראש. פגיעה בעצב הואגוס (העצב התועה) מובילה לשרשרת תופעות האופייניות לפגיעת ראש כמו הקאות מרובות היכולות להוביל לחנק, נשימה חרחורית על רקע ההפרשות בדרכי הנשימה ונשימה איטית על רקע הלחץ על עצב הואגוס. גם הדופק יושפע במצב זה ויהיה איטי אך מלא, כיוון שאין בפגיעת ראש איבוד דם משמעותי. בנוסף נצפה באישונים לא שווים, האישונים אינם מגיבים לאור ויכולים להיות מורחבים בשל פגיעה באספקת החמצן המוחי. חוסר חמצן (היפוקסיה) יכול לגרום לאי שקט מוטורי אצל פצוע בהכרה. תופעות כלל גופניות כוללות שיתוקים בהצלבה ואי שליטה על הסוגרים (הפרשות או להיפך - עצירת שתן). אחת התופעות המעניינות היא עליה בלחץ דם מעל ל 120 סיסטולי. לרוב מדובר בעליה קלה אך לפעמים היא יכולה להיות קיצונית. זוהי תגובת פיצוי של המוח ללחץ המופעל על כלי הדם כתוצאה מעליית ה ICP. לכן חשוב להקפיד על מדידת לחץ דם ולדווח לרופא. הערה: טריאדה על שם קושינג: שלושה סימנים מאפיינים של פגיעת ראש: עליה בלחץ דם, האטת הדופק ושינויים בקצב הנשימה."
אילו חומרים מסוכנים משתחררים מהרקמות בשל פגיעת מעיכה?,מיוגלובין ואשלגן,חומצות,כדוריות דם לבנות,פלזמה מהדם,A1,מיוגלובין הוא חלבון המעביר חמצן בשריר (כמו שהמוגלובין מעביר חמצן בדם). כאשר הוא משתחרר מהרקמה אל מחזור הדם הוא מגיע לכליות ועלול לסתום אותן. עירוי מעודד את הכליות להפריש שתן ולכן מפעיל אותן. אשלגן הוא יון (אטום נושא מטען חשמלי) שאחראי על הפעלת הפעילות החשמלית בעצבים ובלב. עודף של אשלגן נקרא היפרקלמיה ויכול לגרום לדום לב. מתן נוזלים מדלל את האשלגן בדם ולכן מצמצם את הנזק שלו.
ירידה בהעברת חמצן לרקמות על רקע הרחבת כלי דם ונפילת לחץ דם בעקבות נזק עצבי נקראת:,הלם ספינלי,הלם היפוולמי,הלם ספטי,הלם אנאפילקטי,A1,"הלם הוא תופעה של ירידה בחמצון רקמות (ירידה בפרפוזיה) חיוניות. הסיבות להלם קשורות לשלושת המנגנונים המזרימים דם בגוף: תפוקת הלב, כלי הדם ונפח הדם. הלם הקשור לנפח הדם - הלם היפוולמי (תת נפחי). לרוב נובע מאיבוד דם או מאיבוד נוזלים על רקע כוויות הלם הקשור לתפוקת לב - הלם קרדיוגני (לבבי) הקשור לפגיעה בלב, טמפונדה או חזה אויר בלחץ סוגי הלם הקשורים לנפח כלי הדם: א- הלם אנפילקטי - הלם רגישותי, על רקע תגובה אלרגית קשה שגורמת להרחבת כלי דם וצניחת לחץ הדם. ב - הלם ספטי - הלם רגישותי, על רקע זיהום חיידקי קשה. מנגנון דומה לזה של האנפילקטי. ג - הלם ספינלי נורוגני - הלם שדרתי. פגיעה בעמוד שדרה מובילה לנפילת לחץ דם בשל פגיעה בעצבים המעצבבים את כלי הדם. הרחבה לגבי הלם ספינלי - נורוגני ספנלי פירושו שדרתי. נורוגני פירושו עצבי. אם הפגיעה מוחית וחלה נפילת לחץ דם בשל היעדר עצבוב כלי דם, הרי שמדובר בפגיעה נורוגנית. אם הפגיעה יותר נמוכה ומגיעה מנזק ישיר לעמוד השדרה, מדובר בפגיעה ספינלית. בשני המקרים יש נפילת לחץ דם. המאפיין הלם זה הוא שהגפיים נשארות חמות ולא קרות כמו בהלם היפוולמי. הטיפול כולל מתן נוזלים ואדרנלין וכמובן, קיבוע הראש, צוואר ועמוד השדרה לפי הצורך."
"מטופל נמצא לאחר פרכוס. יש סימני נשיכה בלשון, רוק סביב הפה והוא מבולבל. במהלך האירוע היו תנועות לא רצוניות בכל הגוף. — איזו תופעה מתוארת?",היפרוונטילציה,פרכוס כללי,חנק קל,עילפון בלבד,A2,"תנועות לא רצוניות בכל הגוף, רוק, נשיכת לשון ובלבול לאחר האירוע מתאימים לפרכוס כללי."
מה נכלל בטיפול של נפגע מעיכה בגפה (לאחר זמן ממושך שנלכד עקב התמוטטות מבנה)?,חילוץ מהיר על ידי כל מי שיכול לסייע במקום,מתן עירוי לגפה הפגועה גם אם היא הדבר היחידי שמבצבץ מאזור ההתמוטטות,הנחת חוסם עורקים על הגפה למניעת נדידת הרעלים,א + ב נכונים,A2,"כאשר הפגיעה מתרחשת לאורך זמן רב מצטברת ברקמה כמות גדולה של חומרי פסולת, העלולים להרעיל את הגוף כולו בזמן השחרור, לכן אין לחלץ נפגעים ללא נוכחות של צוותי חילוץ וצוותי רפואה מיומנים."
תינוק נחשב מ?,מגיל 8 ומטה,מגיל שנה ומטה,מגיל חודש ומטה,אין הגדרה מדויקת לתינוקות,A2,"מבוגר נחשב לגיל 8 ומעלה ותינוק מגיל שנה ומטה. עם זאת, ההחייאה תבוצע בהתאם לגודל הפיזי של הנפגע ולא לגילו הכרונולוגי."
מה מבין ההבאים הוא מאפיין חיים?,היכולת לרקוד ברייקדנס,נשימה,היכולת לאכול מנה חמה,הרצון לחיות,A2,"מאפייני חיים ביולוגיים: נשימה, דופק, תגובה לגירויים."
היכן נבדוק דופק בתינוק?,בעורק הקרוטיד שבצוואר,בעורק הפמורלי (בירך הפנימית),ביד על הלב,בעורק הברכיאלי (חלק עליון של הזרוע),A4,"בתינוק בודקים דופק בעורק הברכיאלי (חלק עליון של הזרוע), לא בקרוטיד."
"בזמן היימליך, האיבר הזר נראה כמעט מחוץ ללוע. האם להכניס אצבע ולהוציא?",כן,לא,,,A2,אסור להכניס אצבע עיוורת! עלול לדחוף את הגוף הזר עמוק יותר. רק אם רואים בבירור - ניתן להוציא בזהירות.
מהי שיטת הטיפול המרכזית בפצוע טראומה שאיבד דם ושלא חשים אצלו דופק?,CPR ביחס הנשמות לעיסויים של 1:5,CPR ביחס הנשמות לעיסויים של 2:15,ATLS כשמתמקדים בעיסויים בלבד,ATLS כשמתמקדים בעצירת דימום והחזרת נוזלים,A3,"בעבר CPR, כלומר Cardio Vascular Resuscitation הייתה השיטה העיקרית לטיפול במחוסרי הכרה ללא דופק. שיטה זו מאפיינת צרכים אזרחיים לפיהם הדופק אובד בשל פגיעה לבבית. בשנות השבעים הגיעו להבנה שאובדן הדופק נובע מהיעדר זרימת דם ולא בגלל שהלב השתתק. לכן הוחלט כי אין צורך בעיסויים בפצועי טראומה אלא בהחייאת נוזלים ואספקת חמצן. משום כך, הטיפול מתמקד בהחזר דם ונוזלים (לאחר עצירת שטפי דם) תוך שמירה על חמצון הדם באמצעות הנשמות. גישה זו מבוססת על שיטת ה A.T.L.S = Advanced Trauma Life Support, כלומר סיוע רפואי מתקדם לנפגעי טראומה. אלא שגישה זו רלבנטית בעיקר לנפגעים בבית חולים. לכן היה צורך לפתח תורה מקבילה לפצועי טראומה בשטח, בעיקר על רקע מתאר צבאי. שיטה זו מכונה P.H.T.L.S = Pre-Hospital Trauma Life Support ובמקרה שלנו M.T.L.S = Military Trauma Life Support. כלומר, טיפול במצבי טראומה בצבא. הערה: בכל זאת ישנו מקרה ספציפי בו מומלץ לבצע עיסויים והנשמות גם בנפגע טראומה: לאחר כל הטיפול הראשוני שכלל עצירת דימומים והחזרת נוזלים, אם מדובר בנפגע יחיד, אפשר לשלב גם החייאת דופק ונשימה."
כשאדם סובל מהיפרגליקמיה מה נכון?,עודף סוכר אין אינסולין הדרדרות מהירה,פחות סוכר בדם ניתן גלוקוג'ל,עודף סוכר אין אינסולין הדרדרות איטית,פחות סוכר בדם השתנת יתר רעב וצמא,A3,
מה לא עושים בעת טיפול בחולה מתכווץ?,הרמת רגליים,הרחקת חפצים מסכנים,לתת חמצן פריפרי,,A1,
הסכנה הראשונית העיקרית בחולה מחוסר הכרה היא:,צניחת בסיס לשון,אספירציה חנק מהפרשה,חנק מגוף זר,בליעת הלסת,A1,
מתי נמנע מלהזיז את המטופל עד להגעת גורם רפואי מוסמך?,בטביעה או לאחר טביעה,בנפילה מגובה,בהתקף לב,בהתקף אפילפטי,A2,"נפילה מגובה יכולה לגרום לשבר בעמוד שדרה צווארי. כל תזוזה לא מבוקרת יכולה להשאיר את המטופל, במקרה הטוב, משותק בארבע גפיו. בשאר המקרים, אם יש צורך (בשל תנאי האזור או להורדת מצגת מפורטת בנושא הצלת חיים"
האם מותר לשפוך מים על אדם שהתעלף?,חובה,אפשר לא מומלץ,אסור זה מסכן את חייו,כדאי זה מכווץ כלי דם ומחזיר דם למוח,A3,
בן 70 בחתונה עם כאבי חזה שלא עוברים במנוחה ולא עם כדורים. למה תחשוד?,אנגינה פקטוריס לא יציבה,שלב האאורה,היפוגליקמיה,MI,A4,
איזה חלק אינו קיים במשאבת סקשן ידנית?,מפוח,בוכנה,שסתום,קטטר,A1,"מפוח שייך לאמבו. משאבת סקשן, הנקראת גם Uni-pump, מורכבת מצינורית (קטטר) ששואבת את ההפרשות. הצינורית מחוברת לכוסית שהיא מיכל לאגירת ההפרשות. בין הכוסית לקטטר יש שסתום שמאפשר שאיבה אך לא פליטה של ההפרשות. השסתום מורכב מגולה קטנה שנמצאת במיכל ואוטמת את הצינורית."
"אדם במסעדה אינו מצליח לדבר או להשתעל, מחזיק את צווארו, פניו מכחילות והוא נראה במצוקה קשה. — מהו המצב ומה הטיפול המתאים במטופל בהכרה?","חנק קל, לעודד שיעול בלבד","חנק חמור, לבצע לחיצות ברום הבטן","אסתמה, לתת משאף של אדם אחר","עילפון, להשכיב ולהרים רגליים",A2,חוסר יכולת לדבר או להשתעל וכחלון מעידים על חנק חמור. במטופל בהכרה מבצעים לחיצות ברום הבטן.
מה עושה גירוי וגאלי?,מזרז קצב נשימה,מזרז קצב לב,מאט קצב נשימה,עוצר הקאות,A3,הואגוס הוא עצב שעובר מהראש אל מקומות רבים בגוף (נודד = Vage). הוא מעכב פעולות גוף שונות ולכן מאט דופק ונשימה. הוא גם גורם לבחילות והקאות.
"אישה בת 62 מתארת צמא רב, שתן מרובה, חולשה, הקאות, עור חם ויבש וריח אצטון מהפה. הסימנים התפתחו בהדרגה. — איזו בעיה מתאימה ביותר לתיאור?",היפוגליקמיה,היפרגליקמיה,עילפון,פרכוס,A2,"צמא, שתן מרובה, עור חם ויבש וריח אצטון אופייניים להיפרגליקמיה."
"בן 40 עם כאב חזה שעבר במנוחה בעבר, עכשיו לא עובר עם הקרנה ליד שמאל. למה תחשוד?",אנגינה יציבה - לנוח,אנגינה לא יציבה - לחכות,MI - ABC חמצן 300מג אספירין פינוי לאטן,ASC - לברוח,A3,
מהו האפיגלוטיס?,מכסה הגרון,מחלת לב מסוכנת,השם השני של עצם החזה,החלק שיוצאים ממנו קנאקים באצבעות,A1,האפיגלוטיס = מכסה הגרון. בזמן בליעה נסגר ומונע כניסת מזון לקנה הנשימה.
מהו תפקיד האפיגלוטיס בזמן בליעה?,להכניס אוויר מהר לקנה הנשימה,להגדיל את נפח הריאות,להגן על קנה הנשימה ולהימנע מכניסת מזון ונוזלים,לווסת את קצב הנשימה,A3,האפיגלוטיס נסגר מעל הגלוטיס בזמן בליעה ומונע אספירציה.
מה עושים בשלב ה D בטיפול בנפגעי ראש?,הנשמה על ידי אינטובציה והעשרה בחמצן,ניטור מצב ההכרה,עירוי,קיבוע,A2,"סדר הפעולות הולך לפי הפרוטוקול המוכר: A- שמירת נתיב אוויר פתוח: AW. B- הנשמה בהיפרוונטילציה בהוראת רופא (עד 20 נשימות לדקה), העשרה בחמצן אם יש. C - לפי הצורך D- בדיקה נוירולוגית הכוללת ניתור אחר מצב ההכרה - AVPU E- חשיפת המטופל נעשית בזהירות וללא טלטול. לאחר שלב זה אפשר להתפנות גם לחבישת הגוגולת. לגבי עירוי, יפתח קו לווריד פתוח. החזר הנוזלים יקבע לפי הוראות הרופא תוך שמירה על לחץ דם מעל 100 סיסטולי. בנוסף, נקפיד על מדדים אחרים כגון נשימה, לחץ דם, קצב דופק ותפוקת שתן."
"במהלך החייאה הדפיברילטור המליץ על מתן שוק, מה סדר הפעולות שיש לבצע?","מדובר באוטם בשריר הלב, לכן עלינו להתחיל בהחייאה.","מדובר במחלת לב כלשהי ולכן עלינו להרגיעו ולפנותו ב- 45 מעלות לביה""ח.",יש להשכיב את המטופל ולפנותו בהקדם.,אנסה להרגיעו ואם הכאב יחלוף הוא יוכל להמשיך במשחקו בזהירות.,A3,
דלקת ריאות אופיינית בעיקר אצל ילדים זקנים וחולי איידס נכון/לא נכון,נכון,לא נכון,,,A1,
מה נכון לגבי פגיעות הטראומה להלן?,קרע באאורטה מובילה למוות תוך דקות ספורות,בעיות בנתיב אוויר גורמים למוות תוך שניות,תסחיף שומני על רקע שבר מרוסק בירך יוביל למוות תוך ימים עד שבועות,זיהומים יובילו למוות תוך ימים עד שבועות,A4,"ניתן לחלק את פגיעות הטראומה לארבע קטגוריות: - פגיעות שמהן הפצוע ימות תוך מספר שניות. למשל קרע של אבי העורקים או פגיעה ישירה בלב או במוח. - פגיעות שמהן הפצוע ימות תוך מספר דקות. למשל דימום מסיבי או חנק על רקע פגיעה בנתיב האוויר. - פגיעות שמהן הפצוע ימות תוך מספר שעות. למשל מתסחיפים שומניים על רקע שברים או הלם על רקע כוויות. - פגיעות שמהן הפצוע ימות תוך ימים עד שבועות. למשל סיבוכי זיהום, או סיבוכים שהתווספו לפציעה הראשונית."
מהי חסימת נתיב אוויר קלה?,המטופל אינו מסוגל לנשום כלל,המטופל מסוגל להשתעל באופן יעיל,המטופל ציאנוטי ואינו מדבר,המטופל נראה כמו אומפה לומפה,A2,חנק קל = שיעול יעיל. מעודדים להמשיך לשיעל ולא מתערבים. חנק מלא = ללא שיעול = פועלים.
מהו טווח הדופק התקין לאדם מבוגר במנוחה?,30-60 פעימות לדקה,60-100 פעימות לדקה,100-140 פעימות לדקה,120-160 פעימות לדקה,A2,דופק תקין במנוחה: 60-100. מתחת ל-60 = ברדיקרדיה. מעל 100 = טכיקרדיה.
למה אין להניח גזה וזלין על פצע חזה עד לביצוע הטרוקר?,עלול להיות מוקד לזיהום חיידקי,עלול לגרום לשסתום חד כיווני,עלול לסרבל את עבודת הרופא כאשר הוא רוצה להכניס טרוקר,הוזלין עלול לזלוג לתוך הפצע ולהרעיל את הנפגע,A2,"במקרה שיש חור בחזה (חוק כניסה עם או ללא חור יציאה) צריך להימנע מהנחת גזה וזלין עד לביצוע הטרוקר. חזה אוויר בלחץ נוצר בעקבות פגיעה היוצרת מנגנון של שסתום חד כיווני, כלומר מצב בו מתאפשרת כניסת אויר מבחוץ או דרך הריאות אל החלל בין שני קרומי הפלאורה אך האויר ששם נלכד ולא יכול לצאת. איטום הפצע רק מחמיר את האפשרות שחלק מהאויר יצא ולא ילכד בתוך חלל בית החזה."
בהחייאה בשניים?,"אם אחד מהשניים אינו מיומן, מפסיקים לכמה שניות את החייאה לצורך תדרוך",מבצעים עיסויים והנשמות במקביל,אסור להתחלף כדי למנוע נפילת לחץ דם,כשאחד מבצע את פעולתו השני בודק ונותן פידבק,A4,"לא מפסיקים החייאה גם לצורך הדרכה. מנסים להדריך, ככל שניתן, במילים קצרות ופשוטות, תוך כדי עבודה. אם אחד האנשים מפריע יותר מעוזר, מוותרים עליו (אפשר לשלוח אותו להשיג עזרה, או שישמור על הסביבה מפני התקהלות). לא מבצעים עיסויים והנשמות במקביל. כשאחד עובד, השני בודק יעילות (עליית חזה, דופק בקרוטיד) ומדווח לראשון."
הגעת למטופל בן 55 עם עיוות פה וקושי בדיבור. למה תחשוד?,מחלת נפש,STROKE,פרכוס grand mal,TIA,A2,
הסכנה העיקרית ב-MI היא:,היפוגליקמיה,אנגינה פקטוריס,הפרעות קצב,אי ספיקת לב ימין,A3,
מהי השיטה לפתיחת נתיב אוויר בחשד לטראומה?,מצח סנטר,דחיקת לסת (Jaw Thrust),לדחוף אצבע לפה,לא לעשות כלום,A2,בחשד לטראומה: Jaw Thrust (דחיקת לסת) – לא מזיזים את הצוואר לשמירה על עמוד שדרה צווארי.
למה חשוב לשטוף את מקום העקיצה של דבורה?,ארס הדבורה מכיל חיידקים מזהמים ופעולת השטיפה ממזערת סכנת זיהום,ארס הדבורה מכיל רעל צורב. פעולת השטיפה מסלקת חלק מהרעל ומונעת כאב,ארס הדבורה מכיל סימני ריח המזמינים דבורים אחרות. השטיפה מונעת עקיצות נוספות,"שטיפה מאפשרת הוצאת עוקץ הדבורה שנשאר, לרוב, במקום העקיצה",A3,"דבורה עוקצת לשם הגנתה ובמקרים אילו העוקץ המשונן חודר לעור ואינו ניתן לחילוץ. במאמץ להיחלץ הדבורה ""קורעת"" את בטנה ומתה. דברים וצרעות שולפים את עוקצם ומסוגלים לעקוץ פעם נוספת. חרקים שונים (ובניהם הדבורים) משאירים פרומונים (סימני ריח) ה""מזמינים"" דבורים נוספות לעקוץ. לכן חשוב לשטוף את האזור הנעקץ. להורדת מצגת מפורטת בנושא הצלת חיים"
בית חזה אינו עולה בהנשמה. כיצד יש לנהוג?,עיסויי חזה עד הנטן,שיפור קיבוע ראש לאחור ווידוא אטימה וניסיון נוסף,ווידוא אטימה וניסיון נוסף,הנשמות ללא AW,A2,
"בן 55 קרדיאלי עם קוצר נשימה חרחורים ל""ד 200/110. למה תחשוד?",MI,COPD,בצקת ריאות על רקע קרדיאלי,MI הפרעות לד וCOPD,A3,
"נפגע עם בטן קשה, הקאות דמיות ושתן דמי מופיע עם רגליים ישרות. יש להניח ש?",זו לא פגיעת בטן משמעותית,תתכן פגיעה בעמוד השדרה,המטופל עדיין לא הגיע לשלב ההלם,תקלה בגלל תנאי המקום. יש לקפל לנפגע את הרגליים,A2,"נפגע עם בטן קשה תואם לנזק פנימי בבטן. הופעת דם בהקאה ובשתן מצביעה על טראומה. נפגעים עם פגיעת בטן נוהגים לקפל את רגליהם, תגובה שמקלה מעט את הכאב. אם הרגליים אינן מקופלות אז אין תועלת בלקפל אותן ויתכן שזהו גם מצב מסוכן. ניתן להניח שנוצר נתק בחוט השדרה או שהפצוע אינו בהכרה ולכן אין חשיבות לקיפול. הערה: רגליים מקופלות הן סימן ולא טיפול."
טראומה היא:,מצב נפשי רעוע,מחלה תורשתית,נזק לרקמות הגוף כתוצאה מנזק חיצוני,הגדרה לפגיעה מתאונת דרכים,A3,
בהתנגשות מסלול חזיתי עילי נצפה לראות:,שברים באגן ירכיים וכלוב צלעות,פגיעת ראש קשה פגיעה צווארית פגיעה באיברי הבטן,פגיעת ראש פגיעות בברכיים ובקרסוליים,פגיעות הדף קריעת איברים,A2,
הגעת לתאונת דרכים. לפניך מטופל שברגע זה איבד את נשימתו ואת דופק ליבו. אלא שהפנים שלו מרוסקים לגמרי. מה לעשות?,אין מה לעשות כי אין שום מקום שאפשר להנשים אותו,נחפש צינור ונחדיר אותו בכוח לקנה הנשימה,ננסה לפנות שברי לסת בתקווה שנמצא פתח בו נוכל להנשים,נבצע עיסויי לב ללא הנשמה,A4,"כאשר יש דופק ואין נשימה חובה להנשים. אם אין דופק, יש להתחיל בעיסויים. אם המטפל לא מסוגל להנשים, עדיף לעסות מאשר כלום! פעולת הנשמה עשויה להציל חיים, אך אם, מסיבה כלשהי, אינך מסוגל/ת להנשים (פנים מרוסקות, הרגשת גועל...), עדיף לעסות מאשר כלום! להורדת מצגת מפורטת בנושא הצלת חיים"
מה נכון לגבי מוות קליני?,מתרחש רק בהתקף לב,כמעט תמיד ניתן לטיפול,מסמן היעדר פעילות מוחית,דורש ביצוע החייאה מיידי,A4,"מוות קליני = דום לב. מוות ביולוגי = הפסקת פעילות מוחית. לאחר מספר דקות של מוות קליני נכנסים למוות מוחי שהוא סופי ובלתי הפיך. עד אז, חשוב לעשות החייאה מהר ככל שניתן משום שיש אנשים שיוצאים ממוות קליני וחיים עוד שנים רבות."
